smoothed;3
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
((;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(r;0.020000;0.020000;0.160000;0.060000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
(e;0.003571;0.007143;0.003571;0.003571;0.289286;0.003571;0.003571;0.003571;0.003571;0.003571;0.003571;0.200000;0.003571;0.003571;0.003571;0.364286;0.003571;0.003571;0.003571;0.003571;0.007143;0.003571;0.003571;0.003571;0.003571;0.003571;0.003571;0.003571;0.007143;0.003571;0.007143;0.003571;0.003571;0.003571;0.003571;0.003571;0.003571;0.003571;0.003571;0.003571
(a;0.010101;0.010101;0.010101;0.010101;0.070707;0.060606;0.080808;0.030303;0.010101;0.010101;0.161616;0.040404;0.060606;0.010101;0.010101;0.090909;0.010101;0.020202;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.020202;0.070707;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101
(n;0.011364;0.011364;0.034091;0.022727;0.011364;0.079545;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.454545;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
(u;0.021739;0.021739;0.021739;0.021739;0.152174;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
(d;0.012987;0.012987;0.402597;0.025974;0.012987;0.012987;0.012987;0.012987;0.064935;0.012987;0.012987;0.012987;0.012987;0.025974;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.025974;0.012987;0.012987;0.012987;0.012987;0.012987
(c;0.011236;0.101124;0.022472;0.022472;0.011236;0.067416;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.393258;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236
(i;0.021277;0.021277;0.021277;0.021277;0.106383;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.063830;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
(ó;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
( ;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(l;0.007812;0.007812;0.046875;0.523438;0.007812;0.015625;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.125000;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.015625;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812
(p;0.006410;0.032051;0.134615;0.064103;0.006410;0.038462;0.006410;0.006410;0.051282;0.006410;0.006410;0.006410;0.006410;0.006410;0.461538;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410
