unsmoothed;2
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
(;0.000000;0.008000;0.009000;0.028000;0.005000;0.103000;0.017000;0.253000;0.229000;0.023000;0.014000;0.000000;0.040000;0.025000;0.000000;0.006000;0.015000;0.014000;0.070000;0.002000;0.013000;0.019000;0.000000;0.099000;0.001000;0.003000;0.003000;0.000000;0.001000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
r;0.000000;0.009192;0.278098;0.041182;0.023042;0.015321;0.002942;0.073171;0.068268;0.109450;0.013237;0.152715;0.000735;0.000368;0.000000;0.022552;0.006864;0.018139;0.090330;0.000000;0.021326;0.001348;0.017159;0.002574;0.009437;0.010295;0.005638;0.006006;0.000000;0.000000;0.000000;0.000000;0.000613;0.000000;0.000000
e;0.000000;0.099901;0.024929;0.090522;0.012896;0.028631;0.014069;0.022152;0.006911;0.002345;0.111008;0.315994;0.011477;0.001666;0.000062;0.051833;0.035974;0.029187;0.041836;0.000370;0.005368;0.003702;0.014254;0.005800;0.001049;0.020795;0.019499;0.008762;0.005307;0.013328;0.000123;0.000247;0.000000;0.000000;0.000000
s;0.000000;0.000834;0.102228;0.066007;0.035982;0.004647;0.029906;0.109377;0.103896;0.042297;0.000000;0.353390;0.001668;0.029548;0.000596;0.001549;0.009055;0.005957;0.030144;0.000000;0.001549;0.000477;0.036340;0.001072;0.004766;0.000119;0.000000;0.027523;0.000000;0.000000;0.000834;0.000000;0.000000;0.000000;0.000238
u;0.000000;0.206775;0.040108;0.130352;0.000271;0.027100;0.040379;0.081301;0.038482;0.001084;0.124661;0.031978;0.003523;0.000000;0.000000;0.011924;0.061247;0.126287;0.034417;0.000000;0.000000;0.017886;0.003794;0.000000;0.000542;0.016260;0.000000;0.001084;0.000000;0.000271;0.000271;0.000000;0.000000;0.000000;0.000000
m;0.000000;0.047481;0.274334;0.018465;0.036402;0.106041;0.091796;0.000000;0.122131;0.074387;0.000528;0.067792;0.000528;0.000000;0.000000;0.000000;0.000528;0.000528;0.094170;0.000000;0.020839;0.032445;0.006331;0.000000;0.000000;0.000000;0.000000;0.004748;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000528
p;0.000000;0.227029;0.173926;0.006265;0.017005;0.019988;0.054893;0.024761;0.016408;0.221062;0.000000;0.030728;0.000000;0.008055;0.000597;0.000000;0.000000;0.094272;0.096659;0.000000;0.000597;0.000000;0.002685;0.000000;0.000298;0.000298;0.000000;0.004177;0.000000;0.000000;0.000000;0.000000;0.000000;0.000298;0.000000
t;0.000000;0.037643;0.093025;0.023758;0.021992;0.001043;0.000161;0.013083;0.113011;0.091340;0.001043;0.187575;0.000080;0.307007;0.000000;0.000080;0.001284;0.007866;0.044305;0.000000;0.018139;0.000000;0.021912;0.005699;0.000000;0.000080;0.000000;0.008749;0.000000;0.000000;0.000642;0.000321;0.000000;0.000000;0.000161
i;0.000000;0.022768;0.032114;0.153410;0.001293;0.028435;0.006363;0.110956;0.000199;0.132034;0.227779;0.035096;0.015411;0.000099;0.000000;0.034400;0.071088;0.029728;0.030523;0.000099;0.000000;0.008849;0.000298;0.000000;0.011036;0.011334;0.032114;0.000298;0.000000;0.001591;0.000000;0.002585;0.000000;0.000000;0.000099
o;0.000000;0.128082;0.004430;0.024942;0.093413;0.066545;0.045166;0.036210;0.009245;0.014927;0.212635;0.121918;0.099384;0.004334;0.000000;0.018875;0.016660;0.023787;0.004141;0.001637;0.007223;0.012230;0.002889;0.024076;0.002119;0.010882;0.012904;0.000770;0.000000;0.000578;0.000000;0.000000;0.000000;0.000000;0.000000
n;0.000000;0.000000;0.068906;0.063738;0.008290;0.001723;0.000108;0.149225;0.034991;0.044789;0.008829;0.257644;0.007106;0.000754;0.000323;0.135874;0.045650;0.008613;0.037791;0.000754;0.005706;0.000108;0.013566;0.000108;0.007644;0.082364;0.005383;0.009582;0.000108;0.000108;0.000108;0.000108;0.000000;0.000000;0.000000
 ;0.000000;0.039746;0.032440;0.056939;0.012746;0.037721;0.053961;0.180663;0.082629;0.073536;0.018900;0.008060;0.035219;0.026087;0.000040;0.027159;0.051856;0.017550;0.112170;0.003296;0.007902;0.036371;0.000715;0.055152;0.002700;0.015644;0.006949;0.000993;0.002462;0.000040;0.000040;0.000318;0.000000;0.000000;0.000000
f;0.000000;0.038404;0.073453;0.000373;0.064877;0.001119;0.000000;0.017524;0.100671;0.187547;0.000000;0.403803;0.048098;0.000373;0.000000;0.000000;0.000000;0.011931;0.043251;0.000000;0.003729;0.000000;0.002237;0.001119;0.000000;0.000000;0.000000;0.001491;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
h;0.000000;0.007496;0.483816;0.001704;0.003918;0.001022;0.000000;0.011755;0.137990;0.058092;0.002044;0.094037;0.000000;0.000170;0.000000;0.000681;0.000170;0.002555;0.180409;0.000170;0.005622;0.000000;0.005451;0.000341;0.000000;0.000000;0.000000;0.002044;0.000000;0.000000;0.000000;0.000000;0.000000;0.000511;0.000000
);0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
d;0.000000;0.014779;0.181168;0.043862;0.027890;0.015018;0.001669;0.005959;0.088200;0.038617;0.001192;0.446961;0.000715;0.000477;0.000715;0.006436;0.000000;0.007390;0.053159;0.000477;0.006913;0.000238;0.030036;0.000477;0.000238;0.003099;0.005721;0.017402;0.000000;0.000000;0.000715;0.000000;0.000000;0.000000;0.000477
c;0.000000;0.025679;0.139259;0.001728;0.039012;0.000000;0.000000;0.120988;0.081481;0.266667;0.000000;0.032593;0.000000;0.108889;0.000000;0.000000;0.026420;0.031852;0.086667;0.000000;0.025185;0.000000;0.000988;0.000000;0.009877;0.000000;0.000000;0.002222;0.000494;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
l;0.000000;0.004446;0.139953;0.030701;0.018420;0.000212;0.002329;0.016515;0.143129;0.064154;0.000423;0.190980;0.009104;0.000000;0.000000;0.056320;0.000635;0.109041;0.087021;0.000000;0.100783;0.000212;0.009528;0.003388;0.000423;0.000423;0.007411;0.004235;0.000000;0.000000;0.000000;0.000000;0.000000;0.000212;0.000000
a;0.000000;0.109948;0.000321;0.083876;0.011112;0.041244;0.017737;0.164120;0.027460;0.000107;0.182178;0.049898;0.010792;0.000214;0.000107;0.033123;0.034192;0.122022;0.000000;0.001816;0.021584;0.018805;0.001068;0.004381;0.018699;0.017203;0.024362;0.001816;0.000000;0.001710;0.000000;0.000107;0.000000;0.000000;0.000000
j;0.000000;0.000000;0.439394;0.000000;0.282828;0.000000;0.000000;0.000000;0.005051;0.222222;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.045455;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.005051;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
y;0.000000;0.000000;0.040541;0.034304;0.000000;0.032744;0.005198;0.004678;0.008836;0.084719;0.003638;0.643971;0.000520;0.000000;0.001040;0.001040;0.000520;0.000000;0.000000;0.000000;0.000000;0.000000;0.083160;0.000520;0.000000;0.000000;0.000000;0.054054;0.000000;0.000000;0.000520;0.000000;0.000000;0.000000;0.000000
b;0.000000;0.031368;0.418444;0.035759;0.090339;0.005019;0.000000;0.005019;0.029486;0.047679;0.000000;0.005019;0.000000;0.000000;0.000000;0.000000;0.000627;0.128607;0.079046;0.038896;0.082183;0.000000;0.000000;0.000000;0.000000;0.000000;0.001255;0.001255;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
,;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
w;0.000000;0.004500;0.241000;0.006500;0.002500;0.000000;0.000500;0.006000;0.170000;0.129000;0.022000;0.083500;0.000000;0.215500;0.000000;0.000000;0.000000;0.003000;0.101500;0.000000;0.000500;0.000000;0.010500;0.000000;0.000000;0.000000;0.000000;0.003500;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
k;0.000000;0.000000;0.471338;0.044586;0.001592;0.000000;0.000000;0.000000;0.122611;0.023885;0.036624;0.250000;0.000000;0.001592;0.000000;0.000000;0.000000;0.007962;0.015924;0.000000;0.000000;0.000000;0.006369;0.001592;0.000000;0.001592;0.001592;0.012739;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
g;0.000000;0.142996;0.127969;0.007756;0.055259;0.000000;0.000000;0.004847;0.142996;0.055259;0.011634;0.293262;0.001454;0.061076;0.000485;0.004847;0.000000;0.003393;0.049927;0.000000;0.008240;0.000000;0.012603;0.000000;0.000000;0.006302;0.000000;0.009695;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
v;0.000000;0.000000;0.722928;0.000000;0.000000;0.000000;0.000000;0.000000;0.142644;0.067214;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.064974;0.000000;0.001494;0.000000;0.000747;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
.;0.000000;0.000000;0.003077;0.000000;0.000000;0.005128;0.000000;0.000000;0.000000;0.000000;0.000000;0.010256;0.000000;0.000000;0.977436;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.004103;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
q;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
x;0.000000;0.000000;0.050388;0.000000;0.000000;0.000000;0.236434;0.286822;0.120155;0.003876;0.000000;0.027132;0.000000;0.000000;0.000000;0.000000;0.096899;0.000000;0.143411;0.000000;0.000000;0.000000;0.015504;0.000000;0.000000;0.000000;0.003876;0.011628;0.000000;0.003876;0.000000;0.000000;0.000000;0.000000;0.000000
?;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
z;0.000000;0.000000;0.590909;0.000000;0.000000;0.000000;0.000000;0.000000;0.090909;0.181818;0.000000;0.068182;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.045455;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.022727
ó;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
