unsmoothed;3
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
((;0.003191;0.030038;0.056218;0.040785;0.014276;0.063598;0.019197;0.166260;0.146598;0.044638;0.036640;0.080372;0.028559;0.031233;0.003191;0.016387;0.020424;0.022072;0.064867;0.001632;0.012640;0.014587;0.005150;0.055883;0.002504;0.008083;0.005773;0.003112;0.000985;0.000824;0.000077;0.000140;0.000016;0.000016;0.000032
(r;0.002128;0.020422;0.460511;0.031584;0.015531;0.013172;0.008112;0.050897;0.044155;0.058575;0.024173;0.104487;0.005951;0.012611;0.002128;0.016442;0.010904;0.016095;0.050021;0.000421;0.011202;0.003841;0.009153;0.005113;0.004482;0.007821;0.004728;0.004076;0.000323;0.000549;0.000051;0.000094;0.000215;0.000011;0.000021
(e;0.002128;0.050659;0.042788;0.048030;0.049186;0.054646;0.011821;0.033891;0.060739;0.022874;0.093800;0.158913;0.009532;0.013044;0.002148;0.026203;0.020608;0.019777;0.033857;0.000545;0.005883;0.004625;0.008185;0.006188;0.001686;0.011321;0.157497;0.004995;0.039129;0.004992;0.000092;0.000176;0.000011;0.000011;0.000021
(s;0.002128;0.017636;0.151888;0.039859;0.067464;0.021519;0.017100;0.086775;0.067935;0.143334;0.019760;0.171378;0.006262;0.058052;0.002326;0.009441;0.011635;0.012034;0.041864;0.000421;0.004610;0.003550;0.015547;0.004612;0.002925;0.004429;0.002849;0.011249;0.000323;0.000549;0.000329;0.000094;0.000011;0.000011;0.000101
(u;0.002128;0.086283;0.047848;0.061307;0.007941;0.017099;0.020591;0.053607;0.034226;0.022453;0.394648;0.064241;0.006880;0.012489;0.002128;0.012900;0.029032;0.052144;0.031384;0.000421;0.004093;0.009353;0.004698;0.004255;0.001517;0.009809;0.002849;0.002436;0.000323;0.000639;0.000141;0.000094;0.000011;0.000011;0.000021
(m;0.002128;0.240305;0.129160;0.024011;0.019985;0.043412;0.037730;0.026507;0.062109;0.056596;0.019936;0.076179;0.005882;0.012489;0.002128;0.008925;0.008792;0.010224;0.135444;0.000421;0.040166;0.014206;0.005544;0.004255;0.001336;0.004389;0.002849;0.003657;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000197
(p;0.002128;0.151858;0.151278;0.019945;0.033127;0.014728;0.025429;0.034760;0.026868;0.115387;0.019760;0.063824;0.005706;0.015174;0.002327;0.008925;0.008616;0.100296;0.169778;0.000421;0.004292;0.003391;0.004329;0.004255;0.001435;0.004488;0.002849;0.003467;0.000323;0.000549;0.000051;0.000094;0.000011;0.000110;0.000021
(t;0.002128;0.032541;0.066805;0.025776;0.015181;0.008413;0.007185;0.030868;0.059069;0.060444;0.020108;0.116107;0.005733;0.434982;0.002128;0.008952;0.009044;0.012670;0.034680;0.000421;0.010140;0.003391;0.010738;0.007472;0.001336;0.004416;0.002849;0.004991;0.000323;0.000549;0.000265;0.000201;0.000011;0.000011;0.000075
(i;0.002128;0.024948;0.045183;0.071904;0.008282;0.017544;0.009252;0.127539;0.021465;0.066103;0.172834;0.235586;0.029766;0.012522;0.002128;0.020392;0.032312;0.019958;0.030086;0.000454;0.004093;0.006341;0.003533;0.004255;0.005015;0.008167;0.013553;0.002174;0.000323;0.001079;0.000051;0.000955;0.000011;0.000011;0.000054
(o;0.002128;0.074545;0.035955;0.026170;0.140438;0.030247;0.022187;0.038577;0.024480;0.027068;0.250059;0.094221;0.067820;0.013933;0.002128;0.015217;0.014170;0.017977;0.021292;0.000967;0.006501;0.007468;0.004397;0.012280;0.002042;0.008016;0.036136;0.002331;0.000323;0.000742;0.000051;0.000094;0.000011;0.000011;0.000021
(n;0.002128;0.017358;0.152685;0.039102;0.010614;0.008640;0.007167;0.076248;0.033062;0.275117;0.022703;0.139463;0.008075;0.012740;0.002235;0.054216;0.023833;0.012919;0.032508;0.000673;0.005995;0.003427;0.007956;0.004291;0.003884;0.031844;0.004643;0.005268;0.000359;0.000585;0.000087;0.000130;0.000011;0.000011;0.000021
( ;0.003191;0.045910;0.067938;0.055254;0.018149;0.030958;0.037677;0.130091;0.073412;0.069906;0.039090;0.084402;0.026168;0.031776;0.003211;0.026967;0.038852;0.023847;0.085952;0.002280;0.010091;0.023272;0.005508;0.033958;0.003354;0.014405;0.007747;0.003608;0.001716;0.000843;0.000096;0.000299;0.000016;0.000016;0.000032
