unsmoothed;2
(;w;i;e;d;r;a;u;f;n;h;m; ;s;t;z;g;p;o;);c;k;l;ä;,;.;b;ü;j;ß;ö;v;x;?;q;!;y;#
(;0.000000;0.114000;0.155000;0.055000;0.269000;0.004000;0.056000;0.030000;0.043000;0.023000;0.066000;0.027000;0.000000;0.042000;0.001000;0.033000;0.012000;0.002000;0.002000;0.000000;0.000000;0.004000;0.011000;0.001000;0.000000;0.000000;0.019000;0.001000;0.011000;0.000000;0.000000;0.019000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
w;0.000000;0.000000;0.408313;0.309535;0.000000;0.000000;0.102200;0.036675;0.000000;0.000000;0.000489;0.000000;0.000489;0.000000;0.000000;0.000000;0.000000;0.000000;0.084108;0.000000;0.000000;0.000000;0.000000;0.029829;0.000000;0.006846;0.000000;0.020049;0.000000;0.000000;0.000978;0.000000;0.000000;0.000000;0.000000;0.000000;0.000489;0.000000
i;0.000000;0.000000;0.000170;0.211849;0.015702;0.042183;0.006451;0.000509;0.006111;0.182991;0.014004;0.025378;0.011458;0.078340;0.106179;0.003480;0.048209;0.002037;0.053896;0.000000;0.149805;0.011204;0.014853;0.000170;0.000594;0.000170;0.004753;0.000000;0.000085;0.001867;0.000000;0.007469;0.000085;0.000000;0.000000;0.000000;0.000000;0.000000
e;0.000000;0.006164;0.102907;0.001426;0.013847;0.224262;0.002024;0.015641;0.007682;0.256279;0.021897;0.021115;0.144954;0.065599;0.021115;0.003496;0.023921;0.001886;0.000874;0.000138;0.006072;0.004048;0.026405;0.000276;0.008464;0.003082;0.010765;0.000000;0.000276;0.002254;0.000000;0.001288;0.001656;0.000046;0.000138;0.000000;0.000000;0.000000
d;0.000000;0.002416;0.210489;0.426236;0.000142;0.007106;0.124787;0.019613;0.000284;0.009238;0.000142;0.000853;0.127061;0.019471;0.004406;0.000000;0.000426;0.001137;0.010375;0.000000;0.000000;0.000142;0.017197;0.000142;0.008954;0.007817;0.000284;0.001137;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000142
r;0.000000;0.008631;0.057041;0.122995;0.051600;0.021484;0.079370;0.051037;0.013979;0.025706;0.012853;0.010132;0.279388;0.038840;0.046909;0.007130;0.018107;0.003096;0.041561;0.000000;0.006567;0.019326;0.019889;0.016512;0.009663;0.002252;0.020546;0.010883;0.000094;0.000000;0.000844;0.002345;0.000000;0.000000;0.000000;0.000563;0.000094;0.000563
a;0.000000;0.000601;0.001352;0.000000;0.006460;0.095853;0.009766;0.152344;0.026893;0.146785;0.030499;0.058143;0.012470;0.063552;0.079177;0.004056;0.046875;0.003456;0.000000;0.000000;0.039363;0.014273;0.103516;0.000000;0.000901;0.000300;0.048077;0.000000;0.000000;0.052584;0.000000;0.001502;0.000901;0.000000;0.000000;0.000000;0.000300;0.000000
u;0.000000;0.001106;0.000553;0.021018;0.002212;0.101954;0.007375;0.000553;0.065081;0.419985;0.003319;0.062684;0.077618;0.076512;0.041851;0.000737;0.011246;0.003503;0.000369;0.000000;0.036873;0.021571;0.007928;0.000553;0.001106;0.001106;0.006084;0.000000;0.000000;0.025627;0.000000;0.001291;0.000184;0.000000;0.000000;0.000000;0.000000;0.000000
f;0.000000;0.001318;0.042600;0.108476;0.000000;0.109354;0.064559;0.021080;0.058849;0.002635;0.001318;0.008344;0.106280;0.004831;0.116381;0.002635;0.018006;0.000439;0.102767;0.000000;0.000000;0.000878;0.016249;0.020202;0.002635;0.001318;0.002635;0.164251;0.001757;0.000000;0.020202;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
n;0.000000;0.002694;0.040057;0.087203;0.120525;0.001631;0.026019;0.014250;0.009713;0.028713;0.005530;0.001489;0.330946;0.040340;0.055796;0.012336;0.098547;0.000071;0.010209;0.000284;0.001347;0.012974;0.001418;0.002907;0.052605;0.031053;0.002978;0.001347;0.000071;0.000000;0.000922;0.002694;0.000000;0.001063;0.000071;0.002198;0.000000;0.000000
