unsmoothed;2
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
(;0.002998;0.033187;0.176850;0.073834;0.052654;0.018079;0.038757;0.042497;0.029363;0.003588;0.078262;0.064704;0.070483;0.002050;0.039083;0.113483;0.002998;0.027043;0.037214;0.005102;0.004435;0.006132;0.016890;0.000902;0.011409;0.011773;0.008085;0.006227;0.006082;0.001316;0.000755;0.001019;0.000102;0.008066;0.002501;0.000066;0.001121;0.000330;0.000530;0.000024
r;0.002998;0.039302;0.157734;0.136017;0.031526;0.026886;0.028926;0.024326;0.072769;0.005503;0.144418;0.028575;0.013228;0.012155;0.098123;0.037770;0.003051;0.028210;0.037880;0.009570;0.005913;0.005111;0.003444;0.000903;0.006037;0.002773;0.007286;0.009598;0.003348;0.008655;0.000756;0.002243;0.000155;0.000066;0.002757;0.000066;0.001547;0.000330;0.000030;0.000024
e;0.002998;0.068397;0.057298;0.050820;0.111790;0.019272;0.028510;0.040040;0.026311;0.003588;0.208146;0.057275;0.014856;0.002103;0.039986;0.120469;0.003050;0.027837;0.026280;0.011720;0.006837;0.009272;0.003390;0.007072;0.005254;0.002825;0.004825;0.016936;0.006747;0.001342;0.006134;0.002469;0.000102;0.000066;0.001001;0.000145;0.004443;0.000330;0.000030;0.000024
a;0.002998;0.083231;0.057425;0.044334;0.066117;0.018765;0.059376;0.047311;0.025965;0.003622;0.225746;0.055563;0.019245;0.003808;0.035718;0.094756;0.003099;0.037705;0.030676;0.013183;0.005437;0.015316;0.008191;0.003168;0.004755;0.003787;0.008731;0.006661;0.003995;0.001316;0.000755;0.003149;0.000203;0.000066;0.001069;0.000167;0.003690;0.000837;0.000030;0.000024
n;0.002998;0.028239;0.093521;0.083777;0.029230;0.022769;0.048872;0.048861;0.047364;0.006099;0.228188;0.020913;0.012483;0.002469;0.068696;0.052496;0.003102;0.014606;0.113533;0.012060;0.005132;0.004684;0.003390;0.000902;0.005060;0.002877;0.007217;0.007889;0.012864;0.002153;0.000755;0.002432;0.000259;0.000066;0.001054;0.000223;0.001801;0.000905;0.000030;0.000024
u;0.002998;0.079181;0.226035;0.064314;0.119310;0.015179;0.030893;0.043046;0.048825;0.003688;0.090787;0.037702;0.022125;0.004734;0.035980;0.053858;0.002998;0.020591;0.029949;0.005500;0.003929;0.009602;0.012635;0.000902;0.003909;0.002773;0.003085;0.008799;0.004672;0.001813;0.000855;0.002212;0.000102;0.000066;0.003685;0.000066;0.002811;0.000330;0.000030;0.000024
d;0.002998;0.031665;0.309995;0.115149;0.028654;0.023145;0.020331;0.017997;0.068116;0.003810;0.096021;0.020778;0.012483;0.005084;0.129041;0.033057;0.002998;0.013079;0.020028;0.007100;0.003231;0.004706;0.003390;0.000902;0.004279;0.002921;0.004861;0.004227;0.003082;0.001390;0.000755;0.001019;0.000176;0.000066;0.001815;0.000066;0.001195;0.000330;0.000030;0.000024
c;0.002998;0.040347;0.096580;0.111633;0.029820;0.053810;0.020257;0.022411;0.164211;0.004921;0.079428;0.030449;0.012483;0.006132;0.165934;0.032983;0.002998;0.012043;0.053363;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.018348;0.003335;0.004227;0.003082;0.001982;0.000755;0.001019;0.000435;0.000066;0.001501;0.000066;0.001121;0.000330;0.000030;0.000024
i;0.002998;0.042386;0.098580;0.082296;0.076585;0.016818;0.068014;0.064884;0.025979;0.060097;0.086897;0.028296;0.016714;0.002050;0.082007;0.071061;0.002998;0.032850;0.039325;0.005508;0.019742;0.011934;0.003390;0.000902;0.004431;0.002773;0.003201;0.014717;0.011022;0.001374;0.000755;0.008090;0.000392;0.000066;0.008710;0.000066;0.001700;0.000330;0.000030;0.000024
ó;0.002998;0.032364;0.056850;0.044334;0.439264;0.015079;0.028193;0.018414;0.025863;0.003588;0.095806;0.038248;0.014572;0.002050;0.035583;0.035907;0.002998;0.036688;0.020049;0.005102;0.005023;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.006733;0.003082;0.001316;0.007021;0.001019;0.000102;0.000066;0.001001;0.000066;0.001538;0.000330;0.000030;0.000024
