smoothed;3
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
((;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(r;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
(e;0.022727;0.022727;0.022727;0.022727;0.045455;0.045455;0.022727;0.022727;0.045455;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.113636;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
(s;0.015873;0.015873;0.126984;0.015873;0.079365;0.031746;0.015873;0.047619;0.031746;0.158730;0.015873;0.015873;0.015873;0.063492;0.015873;0.015873;0.015873;0.015873;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
(u;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.150000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(m;0.007246;0.471014;0.014493;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.028986;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.195652;0.007246;0.072464;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246
(p;0.019231;0.076923;0.076923;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.076923;0.134615;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
(t;0.003472;0.010417;0.006944;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.024306;0.003472;0.003472;0.003472;0.847222;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.006944;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472
(i;0.003788;0.003788;0.003788;0.011364;0.003788;0.003788;0.003788;0.170455;0.003788;0.003788;0.204545;0.446970;0.053030;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788
(o;0.017241;0.034483;0.017241;0.017241;0.137931;0.017241;0.017241;0.017241;0.017241;0.017241;0.206897;0.017241;0.051724;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.051724;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
(n;0.020408;0.020408;0.102041;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.224490;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
( ;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(f;0.013333;0.026667;0.013333;0.013333;0.080000;0.013333;0.013333;0.013333;0.306667;0.173333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
(h;0.016667;0.016667;0.100000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.350000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
();0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(d;0.024390;0.048780;0.097561;0.024390;0.048780;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
(c;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.300000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
(l;0.020408;0.020408;0.163265;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.122449;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
(a;0.009524;0.019048;0.009524;0.180952;0.009524;0.009524;0.038095;0.038095;0.009524;0.009524;0.114286;0.114286;0.028571;0.009524;0.009524;0.019048;0.038095;0.152381;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.028571;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524
(j;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(y;0.020833;0.020833;0.062500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.250000;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
